City,MRI Building ID,Name,State/Province,Address Line 1,Zipcode,Address,loc,point,lat,lon,altitude
,,Testing Automate,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,1953TR,1953 Gallows TRS,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,7500,BMC Office LLC,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,7800,Meridian BMC Office Owner LLC,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,BIOGAR,The Boro I Office Garage LLC,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,BIPOA,The Boro I POA,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,TEST,,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,TOA,Techworld Owner's Association,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,1951TR,1951 Kidwell TRS,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,3550,National Gateway II,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,TMC3TR,TMG TMC 3 TRS LLC,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,TMC1TR,TMG TMC 1 TRS LLC,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
,TMC2TR,TMG TMC 2 TRS LLC,,,,",  , US",United States,"(39.7837304, -100.445882, 0.0)",39.7837304,-100.445882,0
Arlington,1010,One Ballston Plaza,VA,1010 North Glebe Road,22201,"1010 North Glebe Road, VA 22201, US","1010, North Glebe Road, Ballston, Arlington, Arlington County, Virginia, 22230, United States","(38.8833459, -77.11699675342015, 0.0)",38.8833459,-77.11699675,0
